('BNS: 1.1 P1                   ', ['Operators:', '(1|0,0,0)'])
("BNS: 130.431 P4/n'c'c'        ", ['Operators:', '(1|0,0,0)', '(4z|1/2,0,0)', '(4z-1|0,1/2,0)', '(2x|1/2,0,1/2)', '(2y|0,1/2,1/2)', '(2z|1/2,1/2,0)', '(2xy|1/2,1/2,1/2)', '(2-xy|0,0,1/2)', "(-1|0,0,0)'", "(-4z|1/2,0,0)'", "(-4z-1|0,1/2,0)'", "(mx|1/2,0,1/2)'", "(my|0,1/2,1/2)'", "(mz|1/2,1/2,0)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|0,0,1/2)'"])
('BNS: 130.432 P_c4/ncc         ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,0,0)', '(4z-1|0,1/2,0)', '(2x|1/2,0,1/2)', '(2y|0,1/2,1/2)', '(2z|1/2,1/2,0)', '(2xy|1/2,1/2,1/2)', '(2-xy|0,0,1/2)', '(-1|0,0,0)', '(-4z|1/2,0,0)', '(-4z-1|0,1/2,0)', '(mx|1/2,0,1/2)', '(my|0,1/2,1/2)', '(mz|1/2,1/2,0)', '(mxy|1/2,1/2,1/2)', '(m-xy|0,0,1/2)', "(1|0,0,1/2)'", "(4z|1/2,0,1/2)'", "(4z-1|0,1/2,1/2)'", "(2x|1/2,0,0)'", "(2y|0,1/2,0)'", "(2z|1/2,1/2,1/2)'", "(2xy|1/2,1/2,0)'", "(2-xy|0,0,0)'", "(-1|0,0,1/2)'", "(-4z|1/2,0,1/2)'", "(-4z-1|0,1/2,1/2)'", "(mx|1/2,0,0)'", "(my|0,1/2,0)'", "(mz|1/2,1/2,1/2)'", "(mxy|1/2,1/2,0)'", "(m-xy|0,0,0)'"])
('BNS: 130.433 P_C4/ncc         ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,0,0)', '(4z-1|0,1/2,0)', '(2x|1/2,0,1/2)', '(2y|0,1/2,1/2)', '(2z|1/2,1/2,0)', '(2xy|1/2,1/2,1/2)', '(2-xy|0,0,1/2)', '(-1|0,0,0)', '(-4z|1/2,0,0)', '(-4z-1|0,1/2,0)', '(mx|1/2,0,1/2)', '(my|0,1/2,1/2)', '(mz|1/2,1/2,0)', '(mxy|1/2,1/2,1/2)', '(m-xy|0,0,1/2)', "(1|1/2,1/2,0)'", "(4z|0,1/2,0)'", "(4z-1|1/2,0,0)'", "(2x|0,1/2,1/2)'", "(2y|1/2,0,1/2)'", "(2z|0,0,0)'", "(2xy|0,0,1/2)'", "(2-xy|1/2,1/2,1/2)'", "(-1|1/2,1/2,0)'", "(-4z|0,1/2,0)'", "(-4z-1|1/2,0,0)'", "(mx|0,1/2,1/2)'", "(my|1/2,0,1/2)'", "(mz|0,0,0)'", "(mxy|0,0,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
('BNS: 130.434 P_I4/ncc         ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,0,0)', '(4z-1|0,1/2,0)', '(2x|1/2,0,1/2)', '(2y|0,1/2,1/2)', '(2z|1/2,1/2,0)', '(2xy|1/2,1/2,1/2)', '(2-xy|0,0,1/2)', '(-1|0,0,0)', '(-4z|1/2,0,0)', '(-4z-1|0,1/2,0)', '(mx|1/2,0,1/2)', '(my|0,1/2,1/2)', '(mz|1/2,1/2,0)', '(mxy|1/2,1/2,1/2)', '(m-xy|0,0,1/2)', "(1|1/2,1/2,1/2)'", "(4z|0,1/2,1/2)'", "(4z-1|1/2,0,1/2)'", "(2x|0,1/2,0)'", "(2y|1/2,0,0)'", "(2z|0,0,1/2)'", "(2xy|0,0,0)'", "(2-xy|1/2,1/2,0)'", "(-1|1/2,1/2,1/2)'", "(-4z|0,1/2,1/2)'", "(-4z-1|1/2,0,1/2)'", "(mx|0,1/2,0)'", "(my|1/2,0,0)'", "(mz|0,0,1/2)'", "(mxy|0,0,0)'", "(m-xy|1/2,1/2,0)'"])
('BNS: 131.435 P4_2/mmc         ', ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,1/2)', '(2-xy|0,0,1/2)', '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|0,0,0)', '(my|0,0,0)', '(mz|0,0,0)', '(mxy|0,0,1/2)', '(m-xy|0,0,1/2)'])
("BNS: 131.436 P4_2/mmc1'       ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,1/2)', '(2-xy|0,0,1/2)', '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|0,0,0)', '(my|0,0,0)', '(mz|0,0,0)', '(mxy|0,0,1/2)', '(m-xy|0,0,1/2)', "(1|0,0,0)'", "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2x|0,0,0)'", "(2y|0,0,0)'", "(2z|0,0,0)'", "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'", "(-1|0,0,0)'", "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", "(mx|0,0,0)'", "(my|0,0,0)'", "(mz|0,0,0)'", "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
("BNS: 131.437 P4_2/m'mc        ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', "(2x|0,0,0)'", "(2y|0,0,0)'", '(2z|0,0,0)', "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'", "(-1|0,0,0)'", "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", '(mx|0,0,0)', '(my|0,0,0)', "(mz|0,0,0)'", '(mxy|0,0,1/2)', '(m-xy|0,0,1/2)'])
("BNS: 131.438 P4_2'/mm'c       ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2x|0,0,0)'", "(2y|0,0,0)'", '(2z|0,0,0)', '(2xy|0,0,1/2)', '(2-xy|0,0,1/2)', '(-1|0,0,0)', "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", "(mx|0,0,0)'", "(my|0,0,0)'", '(mz|0,0,0)', '(mxy|0,0,1/2)', '(m-xy|0,0,1/2)'])
("BNS: 131.439 P4_2'/mmc'       ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'", '(-1|0,0,0)', "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", '(mx|0,0,0)', '(my|0,0,0)', '(mz|0,0,0)', "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
("BNS: 131.440 P4_2'/m'm'c      ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'", "(-1|0,0,0)'", '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', "(mx|0,0,0)'", "(my|0,0,0)'", "(mz|0,0,0)'", '(mxy|0,0,1/2)', '(m-xy|0,0,1/2)'])
("BNS: 131.441 P4_2/mm'c'       ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', "(2x|0,0,0)'", "(2y|0,0,0)'", '(2z|0,0,0)', "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'", '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', "(mx|0,0,0)'", "(my|0,0,0)'", '(mz|0,0,0)', "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
("BNS: 131.442 P4_2'/m'mc'      ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2x|0,0,0)'", "(2y|0,0,0)'", '(2z|0,0,0)', '(2xy|0,0,1/2)', '(2-xy|0,0,1/2)', "(-1|0,0,0)'", '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|0,0,0)', '(my|0,0,0)', "(mz|0,0,0)'", "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
("BNS: 131.443 P4_2/m'm'c'      ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,1/2)', '(2-xy|0,0,1/2)', "(-1|0,0,0)'", "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", "(mx|0,0,0)'", "(my|0,0,0)'", "(mz|0,0,0)'", "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
('BNS: 131.444 P_c4_2/mmc       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,1/2)', '(2-xy|0,0,1/2)', '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|0,0,0)', '(my|0,0,0)', '(mz|0,0,0)', '(mxy|0,0,1/2)', '(m-xy|0,0,1/2)', "(1|0,0,1/2)'", "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2x|0,0,1/2)'", "(2y|0,0,1/2)'", "(2z|0,0,1/2)'", "(2xy|0,0,0)'", "(2-xy|0,0,0)'", "(-1|0,0,1/2)'", "(-4z|0,0,0)'", "(-4z-1|0,0,0)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'", "(mz|0,0,1/2)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
('BNS: 131.445 P_C4_2/mmc       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,1/2)', '(2-xy|0,0,1/2)', '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|0,0,0)', '(my|0,0,0)', '(mz|0,0,0)', '(mxy|0,0,1/2)', '(m-xy|0,0,1/2)', "(1|1/2,1/2,0)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", "(2z|1/2,1/2,0)'", "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,1/2)'", "(-1|1/2,1/2,0)'", "(-4z|1/2,1/2,1/2)'", "(-4z-1|1/2,1/2,1/2)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", "(mz|1/2,1/2,0)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
('BNS: 131.446 P_I4_2/mmc       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,1/2)', '(2-xy|0,0,1/2)', '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|0,0,0)', '(my|0,0,0)', '(mz|0,0,0)', '(mxy|0,0,1/2)', '(m-xy|0,0,1/2)', "(1|1/2,1/2,1/2)'", "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", "(2z|1/2,1/2,1/2)'", "(2xy|1/2,1/2,0)'", "(2-xy|1/2,1/2,0)'", "(-1|1/2,1/2,1/2)'", "(-4z|1/2,1/2,0)'", "(-4z-1|1/2,1/2,0)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", "(mz|1/2,1/2,1/2)'", "(mxy|1/2,1/2,0)'", "(m-xy|1/2,1/2,0)'"])
('BNS: 132.447 P4_2/mcm         ', ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,1/2)', '(2y|0,0,1/2)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mz|0,0,0)', '(mxy|0,0,0)', '(m-xy|0,0,0)'])
("BNS: 132.448 P4_2/mcm1'       ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,1/2)', '(2y|0,0,1/2)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mz|0,0,0)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|0,0,0)'", "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2x|0,0,1/2)'", "(2y|0,0,1/2)'", "(2z|0,0,0)'", "(2xy|0,0,0)'", "(2-xy|0,0,0)'", "(-1|0,0,0)'", "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'", "(mz|0,0,0)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
("BNS: 132.449 P4_2/m'cm        ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', "(2x|0,0,1/2)'", "(2y|0,0,1/2)'", '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'", "(-1|0,0,0)'", "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", '(mx|0,0,1/2)', '(my|0,0,1/2)', "(mz|0,0,0)'", '(mxy|0,0,0)', '(m-xy|0,0,0)'])
("BNS: 132.450 P4_2'/mc'm       ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2x|0,0,1/2)'", "(2y|0,0,1/2)'", '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', '(-1|0,0,0)', "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'", '(mz|0,0,0)', '(mxy|0,0,0)', '(m-xy|0,0,0)'])
("BNS: 132.451 P4_2'/mcm'       ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", '(2x|0,0,1/2)', '(2y|0,0,1/2)', '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'", '(-1|0,0,0)', "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mz|0,0,0)', "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
("BNS: 132.452 P4_2'/m'c'm      ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", '(2x|0,0,1/2)', '(2y|0,0,1/2)', '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'", "(-1|0,0,0)'", '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', "(mx|0,0,1/2)'", "(my|0,0,1/2)'", "(mz|0,0,0)'", '(mxy|0,0,0)', '(m-xy|0,0,0)'])
("BNS: 132.453 P4_2/mc'm'       ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', "(2x|0,0,1/2)'", "(2y|0,0,1/2)'", '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'", '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', "(mx|0,0,1/2)'", "(my|0,0,1/2)'", '(mz|0,0,0)', "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
("BNS: 132.454 P4_2'/m'cm'      ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2x|0,0,1/2)'", "(2y|0,0,1/2)'", '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(-1|0,0,0)'", '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|0,0,1/2)', '(my|0,0,1/2)', "(mz|0,0,0)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
("BNS: 132.455 P4_2/m'c'm'      ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,1/2)', '(2y|0,0,1/2)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(-1|0,0,0)'", "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", "(mx|0,0,1/2)'", "(my|0,0,1/2)'", "(mz|0,0,0)'", "(mxy|0,0,0)'", "(m-xy|0,0,0)'"])
('BNS: 132.456 P_c4_2/mcm       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,1/2)', '(2y|0,0,1/2)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mz|0,0,0)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|0,0,1/2)'", "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2x|0,0,0)'", "(2y|0,0,0)'", "(2z|0,0,1/2)'", "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'", "(-1|0,0,1/2)'", "(-4z|0,0,0)'", "(-4z-1|0,0,0)'", "(mx|0,0,0)'", "(my|0,0,0)'", "(mz|0,0,1/2)'", "(mxy|0,0,1/2)'", "(m-xy|0,0,1/2)'"])
('BNS: 132.457 P_C4_2/mcm       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,1/2)', '(2y|0,0,1/2)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mz|0,0,0)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|1/2,1/2,0)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", "(2z|1/2,1/2,0)'", "(2xy|1/2,1/2,0)'", "(2-xy|1/2,1/2,0)'", "(-1|1/2,1/2,0)'", "(-4z|1/2,1/2,1/2)'", "(-4z-1|1/2,1/2,1/2)'", "(mx|1/2,1/2,1/2)'", "(my|1/2,1/2,1/2)'", "(mz|1/2,1/2,0)'", "(mxy|1/2,1/2,0)'", "(m-xy|1/2,1/2,0)'"])
('BNS: 132.458 P_I4_2/mcm       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,1/2)', '(2y|0,0,1/2)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', '(-1|0,0,0)', '(-4z|0,0,1/2)', '(-4z-1|0,0,1/2)', '(mx|0,0,1/2)', '(my|0,0,1/2)', '(mz|0,0,0)', '(mxy|0,0,0)', '(m-xy|0,0,0)', "(1|1/2,1/2,1/2)'", "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", "(2z|1/2,1/2,1/2)'", "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,1/2)'", "(-1|1/2,1/2,1/2)'", "(-4z|1/2,1/2,0)'", "(-4z-1|1/2,1/2,0)'", "(mx|1/2,1/2,0)'", "(my|1/2,1/2,0)'", "(mz|1/2,1/2,1/2)'", "(mxy|1/2,1/2,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
('BNS: 133.459 P4_2/nbc         ', ['Operators:', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', '(2x|0,1/2,0)', '(2y|1/2,0,0)', '(2z|1/2,1/2,0)', '(2xy|0,0,1/2)', '(2-xy|1/2,1/2,1/2)', '(-1|0,0,0)', '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', '(mx|0,1/2,0)', '(my|1/2,0,0)', '(mz|1/2,1/2,0)', '(mxy|0,0,1/2)', '(m-xy|1/2,1/2,1/2)'])
("BNS: 133.460 P4_2/nbc1'       ", ['Operators:', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', '(2x|0,1/2,0)', '(2y|1/2,0,0)', '(2z|1/2,1/2,0)', '(2xy|0,0,1/2)', '(2-xy|1/2,1/2,1/2)', '(-1|0,0,0)', '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', '(mx|0,1/2,0)', '(my|1/2,0,0)', '(mz|1/2,1/2,0)', '(mxy|0,0,1/2)', '(m-xy|1/2,1/2,1/2)', "(1|0,0,0)'", "(4z|1/2,0,1/2)'", "(4z-1|0,1/2,1/2)'", "(2x|0,1/2,0)'", "(2y|1/2,0,0)'", "(2z|1/2,1/2,0)'", "(2xy|0,0,1/2)'", "(2-xy|1/2,1/2,1/2)'", "(-1|0,0,0)'", "(-4z|1/2,0,1/2)'", "(-4z-1|0,1/2,1/2)'", "(mx|0,1/2,0)'", "(my|1/2,0,0)'", "(mz|1/2,1/2,0)'", "(mxy|0,0,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
("BNS: 133.461 P4_2/n'bc        ", ['Operators:', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', "(2x|0,1/2,0)'", "(2y|1/2,0,0)'", '(2z|1/2,1/2,0)', "(2xy|0,0,1/2)'", "(2-xy|1/2,1/2,1/2)'", "(-1|0,0,0)'", "(-4z|1/2,0,1/2)'", "(-4z-1|0,1/2,1/2)'", '(mx|0,1/2,0)', '(my|1/2,0,0)', "(mz|1/2,1/2,0)'", '(mxy|0,0,1/2)', '(m-xy|1/2,1/2,1/2)'])
("BNS: 133.462 P4_2'/nb'c       ", ['Operators:', '(1|0,0,0)', "(4z|1/2,0,1/2)'", "(4z-1|0,1/2,1/2)'", "(2x|0,1/2,0)'", "(2y|1/2,0,0)'", '(2z|1/2,1/2,0)', '(2xy|0,0,1/2)', '(2-xy|1/2,1/2,1/2)', '(-1|0,0,0)', "(-4z|1/2,0,1/2)'", "(-4z-1|0,1/2,1/2)'", "(mx|0,1/2,0)'", "(my|1/2,0,0)'", '(mz|1/2,1/2,0)', '(mxy|0,0,1/2)', '(m-xy|1/2,1/2,1/2)'])
("BNS: 133.463 P4_2'/nbc'       ", ['Operators:', '(1|0,0,0)', "(4z|1/2,0,1/2)'", "(4z-1|0,1/2,1/2)'", '(2x|0,1/2,0)', '(2y|1/2,0,0)', '(2z|1/2,1/2,0)', "(2xy|0,0,1/2)'", "(2-xy|1/2,1/2,1/2)'", '(-1|0,0,0)', "(-4z|1/2,0,1/2)'", "(-4z-1|0,1/2,1/2)'", '(mx|0,1/2,0)', '(my|1/2,0,0)', '(mz|1/2,1/2,0)', "(mxy|0,0,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
("BNS: 133.464 P4_2'/n'b'c      ", ['Operators:', '(1|0,0,0)', "(4z|1/2,0,1/2)'", "(4z-1|0,1/2,1/2)'", '(2x|0,1/2,0)', '(2y|1/2,0,0)', '(2z|1/2,1/2,0)', "(2xy|0,0,1/2)'", "(2-xy|1/2,1/2,1/2)'", "(-1|0,0,0)'", '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', "(mx|0,1/2,0)'", "(my|1/2,0,0)'", "(mz|1/2,1/2,0)'", '(mxy|0,0,1/2)', '(m-xy|1/2,1/2,1/2)'])
("BNS: 133.465 P4_2/nb'c'       ", ['Operators:', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', "(2x|0,1/2,0)'", "(2y|1/2,0,0)'", '(2z|1/2,1/2,0)', "(2xy|0,0,1/2)'", "(2-xy|1/2,1/2,1/2)'", '(-1|0,0,0)', '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', "(mx|0,1/2,0)'", "(my|1/2,0,0)'", '(mz|1/2,1/2,0)', "(mxy|0,0,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
("BNS: 133.466 P4_2'/n'bc'      ", ['Operators:', '(1|0,0,0)', "(4z|1/2,0,1/2)'", "(4z-1|0,1/2,1/2)'", "(2x|0,1/2,0)'", "(2y|1/2,0,0)'", '(2z|1/2,1/2,0)', '(2xy|0,0,1/2)', '(2-xy|1/2,1/2,1/2)', "(-1|0,0,0)'", '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', '(mx|0,1/2,0)', '(my|1/2,0,0)', "(mz|1/2,1/2,0)'", "(mxy|0,0,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
("BNS: 133.467 P4_2/n'b'c'      ", ['Operators:', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', '(2x|0,1/2,0)', '(2y|1/2,0,0)', '(2z|1/2,1/2,0)', '(2xy|0,0,1/2)', '(2-xy|1/2,1/2,1/2)', "(-1|0,0,0)'", "(-4z|1/2,0,1/2)'", "(-4z-1|0,1/2,1/2)'", "(mx|0,1/2,0)'", "(my|1/2,0,0)'", "(mz|1/2,1/2,0)'", "(mxy|0,0,1/2)'", "(m-xy|1/2,1/2,1/2)'"])
('BNS: 133.468 P_c4_2/nbc       ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,0,1/2)', '(4z-1|0,1/2,1/2)', '(2x|0,1/2,0)', '(2y|1/2,0,0)', '(2z|1/2,1/2,0)', '(2xy|0,0,1/2)', '(2-xy|1/2,1/2,1/2)', '(-1|0,0,0)', '(-4z|1/2,0,1/2)', '(-4z-1|0,1/2,1/2)', '(mx|0,1/2,0)', '(my|1/2,0,0)', '(mz|1/2,1/2,0)', '(mxy|0,0,1/2)', '(m-xy|1/2,1/2,1/2)', "(1|0,0,1/2)'", "(4z|1/2,0,0)'", "(4z-1|0,1/2,0)'", "(2x|0,1/2,1/2)'", "(2y|1/2,0,1/2)'", "(2z|1/2,1/2,1/2)'", "(2xy|0,0,0)'", "(2-xy|1/2,1/2,0)'", "(-1|0,0,1/2)'", "(-4z|1/2,0,0)'", "(-4z-1|0,1/2,0)'", "(mx|0,1/2,1/2)'", "(my|1/2,0,1/2)'", "(mz|1/2,1/2,1/2)'", "(mxy|0,0,0)'", "(m-xy|1/2,1/2,0)'"])
