('BNS: 1.1 P1                   ', ['Operators:', '(1|0,0,0)'])
("BNS: 12.60 C2'/m              ", ['Operators:', '(1|0,0,0)', "(2y|0,0,0)'", "(-1|0,0,0)'", '(my|0,0,0)'])
("BNS: 12.61 C2/m'              ", ['Operators:', '(1|0,0,0)', '(2y|0,0,0)', "(-1|0,0,0)'", "(my|0,0,0)'"])
("BNS: 12.62 C2'/m'             ", ['Operators:', '(1|0,0,0)', "(2y|0,0,0)'", '(-1|0,0,0)', "(my|0,0,0)'"])
('BNS: 12.63 C_c2/m             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,0)', '(-1|0,0,0)', '(my|0,0,0)', "(1|0,0,1/2)'", "(2y|0,0,1/2)'", "(-1|0,0,1/2)'", "(my|0,0,1/2)'"])
('BNS: 12.64 C_a2/m             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,0)', '(-1|0,0,0)', '(my|0,0,0)', "(1|1/2,0,0)'", "(2y|0,1/2,0)'", "(-1|0,1/2,0)'", "(my|0,1/2,0)'"])
('BNS: 13.65 P2/c               ', ['Operators:', '(1|0,0,0)', '(2y|0,0,1/2)', '(-1|0,0,0)', '(my|0,0,1/2)'])
("BNS: 13.66 P2/c1'             ", ['Operators:', '(1|0,0,0)', '(2y|0,0,1/2)', '(-1|0,0,0)', '(my|0,0,1/2)', "(1|0,0,0)'", "(2y|0,0,1/2)'", "(-1|0,0,0)'", "(my|0,0,1/2)'"])
("BNS: 13.67 P2'/c              ", ['Operators:', '(1|0,0,0)', "(2y|0,0,1/2)'", "(-1|0,0,0)'", '(my|0,0,1/2)'])
("BNS: 13.68 P2/c'              ", ['Operators:', '(1|0,0,0)', '(2y|0,0,1/2)', "(-1|0,0,0)'", "(my|0,0,1/2)'"])
("BNS: 13.69 P2'/c'             ", ['Operators:', '(1|0,0,0)', "(2y|0,0,1/2)'", '(-1|0,0,0)', "(my|0,0,1/2)'"])
('BNS: 13.70 P_a2/c             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,1/2)', '(-1|0,0,0)', '(my|0,0,1/2)', "(1|1/2,0,0)'", "(2y|1/2,0,1/2)'", "(-1|1/2,0,0)'", "(my|1/2,0,1/2)'"])
('BNS: 13.71 P_b2/c             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,1/2)', '(-1|0,0,0)', '(my|0,0,1/2)', "(1|0,1/2,0)'", "(2y|0,1/2,1/2)'", "(-1|0,1/2,0)'", "(my|0,1/2,1/2)'"])
('BNS: 13.72 P_c2/c             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,1/2)', '(-1|0,0,0)', '(my|0,0,1/2)', "(1|0,0,1/2)'", "(2y|0,0,0)'", "(-1|0,0,1/2)'", "(my|0,0,0)'"])
('BNS: 13.73 P_A2/c             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,1/2)', '(-1|0,0,0)', '(my|0,0,1/2)', "(1|0,1/2,1/2)'", "(2y|0,1/2,0)'", "(-1|0,1/2,1/2)'", "(my|0,1/2,0)'"])
('BNS: 13.74 P_C2/c             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,1/2)', '(-1|0,0,0)', '(my|0,0,1/2)', "(1|1/2,1/2,0)'", "(2y|1/2,1/2,1/2)'", "(-1|1/2,1/2,0)'", "(my|1/2,1/2,1/2)'"])
('BNS: 14.75 P2_1/c             ', ['Operators:', '(1|0,0,0)', '(2y|0,1/2,1/2)', '(-1|0,0,0)', '(my|0,1/2,1/2)'])
("BNS: 14.76 P2_1/c1'           ", ['Operators:', '(1|0,0,0)', '(2y|0,1/2,1/2)', '(-1|0,0,0)', '(my|0,1/2,1/2)', "(1|0,0,0)'", "(2y|0,1/2,1/2)'", "(-1|0,0,0)'", "(my|0,1/2,1/2)'"])
("BNS: 14.77 P2_1'/c            ", ['Operators:', '(1|0,0,0)', "(2y|0,1/2,1/2)'", "(-1|0,0,0)'", '(my|0,1/2,1/2)'])
("BNS: 14.78 P2_1/c'            ", ['Operators:', '(1|0,0,0)', '(2y|0,1/2,1/2)', "(-1|0,0,0)'", "(my|0,1/2,1/2)'"])
("BNS: 14.79 P2_1'/c'           ", ['Operators:', '(1|0,0,0)', "(2y|0,1/2,1/2)'", '(-1|0,0,0)', "(my|0,1/2,1/2)'"])
('BNS: 14.80 P_a2_1/c           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,1/2,1/2)', '(-1|0,0,0)', '(my|0,1/2,1/2)', "(1|1/2,0,0)'", "(2y|1/2,1/2,1/2)'", "(-1|1/2,0,0)'", "(my|1/2,1/2,1/2)'"])
('BNS: 14.81 P_b2_1/c           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,1/2,1/2)', '(-1|0,0,0)', '(my|0,1/2,1/2)', "(1|0,1/2,0)'", "(2y|0,0,1/2)'", "(-1|0,1/2,0)'", "(my|0,0,1/2)'"])
